Subject,Item,Time,Prime,Target
15,3,578,Positive,Negative
15,7,261,Positive,Negative
15,11,325,Positive,Negative
15,15,416,Positive,Negative
15,19,432,Positive,Negative
15,23,609,Positive,Negative
15,27,247,Positive,Negative
15,31,271,Positive,Negative
15,2,273,Positive,Positive
15,6,540,Positive,Positive
15,10,324,Positive,Positive
15,14,413,Positive,Positive
15,18,524,Positive,Positive
15,22,455,Positive,Positive
15,26,270,Positive,Positive
15,30,239,Positive,Positive
16,4,321,Negative,Negative
16,8,498,Negative,Negative
16,12,282,Negative,Negative
16,16,207,Negative,Negative
16,20,428,Negative,Negative
16,24,288,Negative,Negative
16,28,353,Negative,Negative
16,32,324,Negative,Negative
16,1,633,Negative,Positive
16,5,768,Negative,Positive
16,9,665,Negative,Positive
16,13,368,Negative,Positive
16,17,594,Negative,Positive
16,21,343,Negative,Positive
16,25,341,Negative,Positive
16,29,389,Negative,Positive
16,3,481,Positive,Negative
16,7,552,Positive,Negative
16,11,438,Positive,Negative
16,15,114,Positive,Negative
16,19,498,Positive,Negative
16,23,449,Positive,Negative
16,27,316,Positive,Negative
16,31,366,Positive,Negative
16,2,,Positive,Positive
16,6,549,Positive,Positive
16,10,493,Positive,Positive
16,14,,Positive,Positive
16,18,132,Positive,Positive
16,22,512,Positive,Positive
16,26,239,Positive,Positive
16,30,301,Positive,Positive
17,1,664,Negative,Negative
17,5,439,Negative,Negative
17,9,,Negative,Negative
17,13,608,Negative,Negative
17,17,165,Negative,Negative
17,21,404,Negative,Negative
17,25,297,Negative,Negative
17,29,131,Negative,Negative
17,2,578,Negative,Positive
17,6,422,Negative,Positive
17,10,175,Negative,Positive
17,14,279,Negative,Positive
17,18,187,Negative,Positive
17,22,296,Negative,Positive
17,26,226,Negative,Positive
17,30,659,Negative,Positive
17,4,409,Positive,Negative
17,8,381,Positive,Negative
17,12,619,Positive,Negative
17,16,691,Positive,Negative
17,20,165,Positive,Negative
17,24,403,Positive,Negative
17,28,580,Positive,Negative
17,32,251,Positive,Negative
17,3,637,Positive,Positive
17,7,254,Positive,Positive
17,11,165,Positive,Positive
17,15,199,Positive,Positive
17,19,205,Positive,Positive
17,23,227,Positive,Positive
17,27,230,Positive,Positive
17,31,207,Positive,Positive
18,1,192,Negative,Negative
18,5,194,Negative,Negative
18,9,276,Negative,Negative
18,13,444,Negative,Negative
18,17,204,Negative,Negative
18,21,162,Negative,Negative
18,25,399,Negative,Negative
18,29,151,Negative,Negative
18,2,166,Negative,Positive
18,6,533,Negative,Positive
18,10,599,Negative,Positive
18,14,753,Negative,Positive
18,18,1002,Negative,Positive
18,22,316,Negative,Positive
18,26,197,Negative,Positive
18,30,297,Negative,Positive
18,4,658,Positive,Negative
18,8,187,Positive,Negative
18,12,398,Positive,Negative
18,16,569,Positive,Negative
18,20,211,Positive,Negative
18,24,,Positive,Negative
18,28,464,Positive,Negative
18,32,556,Positive,Negative
18,3,527,Positive,Positive
18,7,274,Positive,Positive
18,11,334,Positive,Positive
18,15,285,Positive,Positive
18,19,324,Positive,Positive
18,23,420,Positive,Positive
18,27,129,Positive,Positive
18,31,338,Positive,Positive
19,1,441,Negative,Negative
19,5,737,Negative,Negative
19,9,295,Negative,Negative
19,13,282,Negative,Negative
19,17,264,Negative,Negative
19,21,415,Negative,Negative
19,25,164,Negative,Negative
19,29,375,Negative,Negative
19,2,133,Negative,Positive
19,6,812,Negative,Positive
19,10,763,Negative,Positive
19,14,323,Negative,Positive
19,18,394,Negative,Positive
19,22,363,Negative,Positive
19,26,517,Negative,Positive
19,30,447,Negative,Positive
19,4,485,Positive,Negative
19,8,403,Positive,Negative
19,12,642,Positive,Negative
19,16,410,Positive,Negative
19,20,207,Positive,Negative
19,24,332,Positive,Negative
19,28,268,Positive,Negative
19,32,387,Positive,Negative
19,3,675,Positive,Positive
19,7,497,Positive,Positive
19,11,260,Positive,Positive
19,15,331,Positive,Positive
19,19,131,Positive,Positive
19,23,285,Positive,Positive
19,27,237,Positive,Positive
19,31,834,Positive,Positive
20,1,168,Negative,Negative
20,5,390,Negative,Negative
20,9,374,Negative,Negative
20,13,344,Negative,Negative
20,17,,Negative,Negative
20,21,214,Negative,Negative
20,25,189,Negative,Negative
20,29,283,Negative,Negative
20,2,384,Negative,Positive
20,6,493,Negative,Positive
20,10,189,Negative,Positive
20,14,468,Negative,Positive
20,18,609,Negative,Positive
20,22,,Negative,Positive
20,26,,Negative,Positive
20,30,213,Negative,Positive
20,4,212,Positive,Negative
20,8,261,Positive,Negative
20,12,202,Positive,Negative
20,16,178,Positive,Negative
20,20,,Positive,Negative
20,24,199,Positive,Negative
20,28,560,Positive,Negative
20,32,246,Positive,Negative
20,3,196,Positive,Positive
20,7,218,Positive,Positive
20,11,205,Positive,Positive
20,15,212,Positive,Positive
20,19,592,Positive,Positive
20,23,228,Positive,Positive
20,27,212,Positive,Positive
20,31,208,Positive,Positive
21,1,853,Negative,Negative
21,5,387,Negative,Negative
21,9,236,Negative,Negative
21,13,496,Negative,Negative
21,17,360,Negative,Negative
21,21,463,Negative,Negative
21,25,294,Negative,Negative
21,29,201,Negative,Negative
21,2,,Negative,Positive
21,6,398,Negative,Positive
21,10,277,Negative,Positive
21,14,350,Negative,Positive
21,18,440,Negative,Positive
21,22,329,Negative,Positive
21,26,716,Negative,Positive
21,30,279,Negative,Positive
21,4,334,Positive,Negative
21,8,146,Positive,Negative
21,12,388,Positive,Negative
21,16,394,Positive,Negative
21,20,418,Positive,Negative
21,24,540,Positive,Negative
21,28,424,Positive,Negative
21,32,544,Positive,Negative
21,3,462,Positive,Positive
21,7,522,Positive,Positive
21,11,184,Positive,Positive
21,15,303,Positive,Positive
21,19,,Positive,Positive
21,23,447,Positive,Positive
21,27,397,Positive,Positive
21,31,383,Positive,Positive
22,1,212,Negative,Negative
22,5,393,Negative,Negative
22,9,246,Negative,Negative
22,13,192,Negative,Negative
22,17,349,Negative,Negative
22,21,139,Negative,Negative
22,25,158,Negative,Negative
22,29,174,Negative,Negative
22,2,520,Negative,Positive
22,6,206,Negative,Positive
22,10,169,Negative,Positive
22,14,195,Negative,Positive
22,18,199,Negative,Positive
22,22,,Negative,Positive
22,26,164,Negative,Positive
22,30,224,Negative,Positive
22,4,,Positive,Negative
22,8,,Positive,Negative
22,12,155,Positive,Negative
22,16,172,Positive,Negative
22,20,174,Positive,Negative
22,24,218,Positive,Negative
22,28,168,Positive,Negative
22,32,168,Positive,Negative
22,3,263,Positive,Positive
22,7,329,Positive,Positive
22,11,216,Positive,Positive
22,15,234,Positive,Positive
22,19,200,Positive,Positive
22,23,196,Positive,Positive
22,27,232,Positive,Positive
22,31,181,Positive,Positive
23,1,222,Negative,Negative
23,5,455,Negative,Negative
23,9,179,Negative,Negative
23,13,170,Negative,Negative
23,17,312,Negative,Negative
23,21,,Negative,Negative
23,25,,Negative,Negative
23,29,392,Negative,Negative
23,2,314,Negative,Positive
23,6,447,Negative,Positive
23,10,,Negative,Positive
23,14,298,Negative,Positive
23,18,,Negative,Positive
23,22,129,Negative,Positive
23,26,269,Negative,Positive
23,30,233,Negative,Positive
23,4,231,Positive,Negative
23,8,244,Positive,Negative
23,12,855,Positive,Negative
23,16,448,Positive,Negative
23,20,287,Positive,Negative
23,24,489,Positive,Negative
23,28,180,Positive,Negative
23,32,,Positive,Negative
23,3,303,Positive,Positive
23,7,208,Positive,Positive
23,11,177,Positive,Positive
23,15,474,Positive,Positive
23,19,305,Positive,Positive
23,23,216,Positive,Positive
23,27,306,Positive,Positive
23,31,398,Positive,Positive
24,1,235,Negative,Negative
24,5,239,Negative,Negative
24,9,,Negative,Negative
24,13,160,Negative,Negative
24,17,749,Negative,Negative
24,21,272,Negative,Negative
24,25,,Negative,Negative
24,29,334,Negative,Negative
24,2,178,Negative,Positive
24,6,779,Negative,Positive
24,10,244,Negative,Positive
24,14,156,Negative,Positive
24,18,143,Negative,Positive
24,22,310,Negative,Positive
24,26,,Negative,Positive
24,30,165,Negative,Positive
24,4,293,Positive,Negative
24,8,122,Positive,Negative
24,12,138,Positive,Negative
24,16,255,Positive,Negative
24,20,230,Positive,Negative
24,24,292,Positive,Negative
24,28,,Positive,Negative
24,32,355,Positive,Negative
24,3,,Positive,Positive
24,7,127,Positive,Positive
24,11,,Positive,Positive
24,15,328,Positive,Positive
24,19,265,Positive,Positive
24,23,454,Positive,Positive
24,27,293,Positive,Positive
24,31,241,Positive,Positive
25,2,164,Negative,Negative
25,6,163,Negative,Negative
25,10,198,Negative,Negative
25,14,267,Negative,Negative
25,18,306,Negative,Negative
25,22,453,Negative,Negative
25,26,172,Negative,Negative
25,30,154,Negative,Negative
25,3,271,Negative,Positive
25,7,245,Negative,Positive
25,11,254,Negative,Positive
25,15,175,Negative,Positive
25,19,201,Negative,Positive
25,23,335,Negative,Positive
25,27,395,Negative,Positive
25,31,268,Negative,Positive
25,1,303,Positive,Negative
25,5,397,Positive,Negative
25,9,339,Positive,Negative
25,13,330,Positive,Negative
25,17,406,Positive,Negative
25,21,209,Positive,Negative
25,25,429,Positive,Negative
25,29,253,Positive,Negative
25,4,278,Positive,Positive
25,8,284,Positive,Positive
25,12,360,Positive,Positive
25,16,456,Positive,Positive
25,20,194,Positive,Positive
25,24,316,Positive,Positive
25,28,232,Positive,Positive
25,32,309,Positive,Positive
26,2,840,Negative,Negative
26,6,989,Negative,Negative
26,10,379,Negative,Negative
26,14,422,Negative,Negative
26,18,1397,Negative,Negative
26,22,162,Negative,Negative
26,26,409,Negative,Negative
26,30,194,Negative,Negative
26,3,593,Negative,Positive
26,7,888,Negative,Positive
26,11,1639,Negative,Positive
26,15,663,Negative,Positive
26,19,295,Negative,Positive
26,23,1068,Negative,Positive
26,27,562,Negative,Positive
26,31,310,Negative,Positive
26,1,997,Positive,Negative
26,5,308,Positive,Negative
26,9,278,Positive,Negative
26,13,316,Positive,Negative
26,17,1025,Positive,Negative
26,21,426,Positive,Negative
26,25,487,Positive,Negative
26,29,576,Positive,Negative
26,4,135,Positive,Positive
26,8,679,Positive,Positive
26,12,1216,Positive,Positive
26,16,1802,Positive,Positive
26,20,227,Positive,Positive
26,24,120,Positive,Positive
26,28,717,Positive,Positive
26,32,1662,Positive,Positive
27,2,86,Negative,Negative
27,6,138,Negative,Negative
27,10,,Negative,Negative
27,14,119,Negative,Negative
27,18,191,Negative,Negative
27,22,177,Negative,Negative
27,26,,Negative,Negative
27,30,87,Negative,Negative
27,3,86,Negative,Positive
27,7,205,Negative,Positive
27,11,,Negative,Positive
27,15,121,Negative,Positive
27,19,143,Negative,Positive
27,23,144,Negative,Positive
27,27,99,Negative,Positive
27,31,82,Negative,Positive
27,1,143,Positive,Negative
27,5,144,Positive,Negative
27,9,121,Positive,Negative
27,13,244,Positive,Negative
27,17,105,Positive,Negative
27,21,,Positive,Negative
27,25,113,Positive,Negative
27,29,210,Positive,Negative
27,4,,Positive,Positive
27,8,271,Positive,Positive
27,12,84,Positive,Positive
27,16,227,Positive,Positive
27,20,107,Positive,Positive
27,24,139,Positive,Positive
27,28,,Positive,Positive
27,32,,Positive,Positive
28,2,222,Negative,Negative
28,6,169,Negative,Negative
28,10,,Negative,Negative
28,14,222,Negative,Negative
28,18,300,Negative,Negative
28,22,259,Negative,Negative
28,26,266,Negative,Negative
28,30,197,Negative,Negative
28,3,412,Negative,Positive
28,7,345,Negative,Positive
28,11,102,Negative,Positive
28,15,116,Negative,Positive
28,19,,Negative,Positive
28,23,188,Negative,Positive
28,27,404,Negative,Positive
28,31,219,Negative,Positive
28,1,448,Positive,Negative
28,5,424,Positive,Negative
28,9,1013,Positive,Negative
28,13,169,Positive,Negative
28,17,587,Positive,Negative
28,21,343,Positive,Negative
28,25,330,Positive,Negative
28,29,464,Positive,Negative
28,4,196,Positive,Positive
28,8,325,Positive,Positive
28,12,264,Positive,Positive
28,16,245,Positive,Positive
28,20,328,Positive,Positive
28,24,377,Positive,Positive
28,28,596,Positive,Positive
28,32,256,Positive,Positive
29,2,261,Negative,Negative
29,6,348,Negative,Negative
29,10,151,Negative,Negative
29,14,,Negative,Negative
29,18,170,Negative,Negative
29,22,278,Negative,Negative
29,26,178,Negative,Negative
29,30,441,Negative,Negative
29,3,,Negative,Positive
29,7,323,Negative,Positive
29,11,277,Negative,Positive
29,15,,Negative,Positive
29,19,187,Negative,Positive
29,23,180,Negative,Positive
29,27,176,Negative,Positive
29,31,141,Negative,Positive
29,1,1283,Positive,Negative
29,5,351,Positive,Negative
29,9,650,Positive,Negative
29,13,328,Positive,Negative
29,17,363,Positive,Negative
29,21,,Positive,Negative
29,25,177,Positive,Negative
29,29,129,Positive,Negative
29,4,551,Positive,Positive
29,8,280,Positive,Positive
29,12,152,Positive,Positive
29,16,359,Positive,Positive
29,20,140,Positive,Positive
29,24,,Positive,Positive
29,28,195,Positive,Positive
29,32,423,Positive,Positive
30,2,140,Negative,Negative
30,6,787,Negative,Negative
30,10,883,Negative,Negative
30,14,377,Negative,Negative
30,18,182,Negative,Negative
30,22,480,Negative,Negative
30,26,379,Negative,Negative
30,30,199,Negative,Negative
30,3,253,Negative,Positive
30,7,400,Negative,Positive
30,11,295,Negative,Positive
30,15,607,Negative,Positive
30,19,307,Negative,Positive
30,23,271,Negative,Positive
30,27,210,Negative,Positive
30,31,265,Negative,Positive
30,1,623,Positive,Negative
30,5,540,Positive,Negative
30,9,346,Positive,Negative
30,13,225,Positive,Negative
30,17,283,Positive,Negative
30,21,277,Positive,Negative
30,25,297,Positive,Negative
30,29,336,Positive,Negative
30,4,415,Positive,Positive
30,8,242,Positive,Positive
30,12,339,Positive,Positive
30,16,209,Positive,Positive
30,20,361,Positive,Positive
30,24,254,Positive,Positive
30,28,310,Positive,Positive
30,32,591,Positive,Positive
31,2,,Negative,Negative
31,6,298,Negative,Negative
31,10,,Negative,Negative
31,14,578,Negative,Negative
31,18,,Negative,Negative
31,22,380,Negative,Negative
31,26,303,Negative,Negative
31,30,275,Negative,Negative
31,3,660,Negative,Positive
31,7,163,Negative,Positive
31,11,401,Negative,Positive
31,15,,Negative,Positive
31,19,150,Negative,Positive
31,23,139,Negative,Positive
31,27,508,Negative,Positive
31,31,,Negative,Positive
31,1,771,Positive,Negative
31,5,470,Positive,Negative
31,9,189,Positive,Negative
31,13,199,Positive,Negative
31,17,163,Positive,Negative
31,21,440,Positive,Negative
31,25,389,Positive,Negative
31,29,348,Positive,Negative
31,4,234,Positive,Positive
31,8,549,Positive,Positive
31,12,946,Positive,Positive
31,16,210,Positive,Positive
31,20,311,Positive,Positive
31,24,283,Positive,Positive
31,28,244,Positive,Positive
31,32,330,Positive,Positive
32,2,660,Negative,Negative
32,6,451,Negative,Negative
32,10,354,Negative,Negative
32,14,565,Negative,Negative
32,18,350,Negative,Negative
32,22,446,Negative,Negative
32,26,230,Negative,Negative
32,30,331,Negative,Negative
32,3,152,Negative,Positive
32,7,471,Negative,Positive
32,11,406,Negative,Positive
32,15,880,Negative,Positive
32,19,283,Negative,Positive
32,23,268,Negative,Positive
32,27,404,Negative,Positive
32,31,363,Negative,Positive
32,1,289,Positive,Negative
32,5,598,Positive,Negative
32,9,430,Positive,Negative
32,13,469,Positive,Negative
32,17,326,Positive,Negative
32,21,386,Positive,Negative
32,25,342,Positive,Negative
32,29,309,Positive,Negative
32,4,698,Positive,Positive
32,8,495,Positive,Positive
32,12,181,Positive,Positive
32,16,170,Positive,Positive
32,20,344,Positive,Positive
32,24,173,Positive,Positive
32,28,433,Positive,Positive
32,32,268,Positive,Positive
33,3,,Negative,Negative
33,7,451,Negative,Negative
33,11,316,Negative,Negative
33,15,394,Negative,Negative
33,19,211,Negative,Negative
33,23,327,Negative,Negative
33,27,362,Negative,Negative
33,31,,Negative,Negative
33,4,1023,Negative,Positive
33,8,869,Negative,Positive
33,12,599,Negative,Positive
