Subject,Item,RT,Image
18,4,5879,Neutral
18,8,474,Neutral
18,12,580,Neutral
18,16,723,Neutral
18,20,790,Neutral
18,24,844,Neutral
18,28,505,Neutral
19,1,2028,Neutral
19,5,1723,Neutral
19,9,1326,Neutral
19,13,2323,Neutral
19,17,2608,Neutral
19,21,1331,Neutral
19,25,2482,Neutral
20,2,1625,Neutral
20,6,1277,Neutral
20,10,2516,Neutral
20,14,2136,Neutral
20,18,970,Neutral
20,22,712,Neutral
20,26,1583,Neutral
21,3,1624,Neutral
21,7,923,Neutral
21,11,,Neutral
21,15,1424,Neutral
21,19,1901,Neutral
21,23,2051,Neutral
21,27,1037,Neutral
22,4,1694,Neutral
22,8,989,Neutral
22,12,2013,Neutral
22,16,697,Neutral
22,20,1515,Neutral
22,24,660,Neutral
22,28,578,Neutral
23,1,1665,Neutral
23,5,1555,Neutral
23,9,633,Neutral
23,13,1731,Neutral
23,17,1606,Neutral
23,21,2637,Neutral
23,25,1452,Neutral
24,2,1909,Neutral
24,6,3936,Neutral
24,10,7000,Neutral
24,14,1658,Neutral
24,18,1826,Neutral
24,22,1720,Neutral
24,26,2679,Neutral
25,3,3134,Neutral
25,7,918,Neutral
25,11,1636,Neutral
25,15,2315,Neutral
25,19,2816,Neutral
25,23,3281,Neutral
25,27,1492,Neutral
26,4,2691,Neutral
26,8,508,Neutral
26,12,820,Neutral
26,16,580,Neutral
26,20,802,Neutral
26,24,1130,Neutral
26,28,778,Neutral
27,1,2750,Neutral
27,5,1688,Neutral
27,9,2161,Neutral
27,13,1700,Neutral
27,17,2017,Neutral
27,21,1611,Neutral
27,25,1742,Neutral
28,2,1953,Neutral
28,6,1450,Neutral
28,10,2530,Neutral
28,14,6531,Neutral
28,18,1627,Neutral
28,22,949,Neutral
28,26,1730,Neutral
29,3,1156,Neutral
29,7,702,Neutral
29,11,814,Neutral
29,15,876,Neutral
29,19,1186,Neutral
29,23,760,Neutral
29,27,499,Neutral
30,4,2781,Neutral
30,8,1120,Neutral
30,12,946,Neutral
30,16,897,Neutral
30,20,1165,Neutral
30,24,1054,Neutral
30,28,901,Neutral
31,1,1287,Neutral
31,5,1921,Neutral
31,9,818,Neutral
31,13,1810,Neutral
31,17,1203,Neutral
31,21,1128,Neutral
31,25,2192,Neutral
32,2,1648,Neutral
32,6,1789,Neutral
32,10,1591,Neutral
32,14,2222,Neutral
32,18,4598,Neutral
32,22,1096,Neutral
32,26,2075,Neutral
33,4,1121,Neutral
33,8,810,Neutral
33,12,998,Neutral
33,16,826,Neutral
33,20,1193,Neutral
33,24,830,Neutral
33,28,737,Neutral
34,3,1700,Neutral
34,7,949,Neutral
34,11,1580,Neutral
34,15,1006,Neutral
34,19,2495,Neutral
34,23,1787,Neutral
34,27,809,Neutral
35,1,762,Neutral
35,5,2478,Neutral
35,9,1510,Neutral
35,13,1678,Neutral
35,17,2646,Neutral
35,21,1001,Neutral
35,25,2765,Neutral
36,2,3495,Neutral
36,6,1158,Neutral
36,10,3242,Neutral
36,14,2548,Neutral
36,18,1657,Neutral
36,22,1449,Neutral
36,26,2774,Neutral
37,3,1306,Neutral
37,7,897,Neutral
37,11,1989,Neutral
37,15,1973,Neutral
37,19,2188,Neutral
37,23,2662,Neutral
37,27,1159,Neutral
38,4,1338,Neutral
38,8,793,Neutral
38,12,802,Neutral
38,16,655,Neutral
38,20,2383,Neutral
38,24,1258,Neutral
38,28,655,Neutral
39,1,1105,Neutral
39,5,1533,Neutral
39,9,653,Neutral
39,13,1641,Neutral
39,17,1446,Neutral
39,21,1212,Neutral
39,25,1239,Neutral
40,2,2233,Neutral
40,6,1807,Neutral
40,10,2080,Neutral
40,14,1383,Neutral
40,18,2559,Neutral
40,22,800,Neutral
40,26,2368,Neutral
41,3,1434,Neutral
41,7,2967,Neutral
41,11,921,Neutral
41,15,805,Neutral
41,19,1156,Neutral
41,23,1494,Neutral
41,27,956,Neutral
42,4,1611,Neutral
42,8,1123,Neutral
42,12,1186,Neutral
42,16,1012,Neutral
42,20,1233,Neutral
42,24,861,Neutral
42,28,958,Neutral
43,1,2511,Neutral
43,5,914,Neutral
43,9,2103,Neutral
43,13,451,Neutral
43,17,1574,Neutral
43,21,504,Neutral
43,25,1521,Neutral
44,2,1987,Neutral
44,6,2004,Neutral
44,10,1370,Neutral
44,14,1200,Neutral
44,18,1105,Neutral
44,22,550,Neutral
44,26,1146,Neutral
45,3,887,Neutral
45,7,649,Neutral
45,11,837,Neutral
45,15,765,Neutral
45,19,1164,Neutral
45,23,1896,Neutral
45,27,918,Neutral
46,4,2409,Neutral
46,8,565,Neutral
46,12,1792,Neutral
46,16,728,Neutral
46,20,2259,Neutral
46,24,893,Neutral
46,28,723,Neutral
47,1,1407,Neutral
47,5,1214,Neutral
47,9,791,Neutral
47,13,1571,Neutral
47,17,1674,Neutral
47,21,859,Neutral
47,25,2508,Neutral
48,2,2159,Neutral
48,6,1975,Neutral
48,10,2100,Neutral
48,14,3018,Neutral
48,18,1297,Neutral
48,22,1812,Neutral
48,26,2219,Neutral
49,3,1122,Neutral
49,7,811,Neutral
49,11,1045,Neutral
49,15,538,Neutral
49,19,1463,Neutral
49,23,3047,Neutral
49,27,1953,Neutral
50,4,2914,Neutral
50,8,776,Neutral
50,12,1085,Neutral
50,16,1128,Neutral
50,20,1468,Neutral
50,24,1550,Neutral
50,28,1112,Neutral
1,1,1249,Negative
1,5,1182,Negative
1,9,1036,Negative
1,13,914,Negative
1,17,829,Negative
1,21,980,Negative
1,25,1589,Negative
2,2,2658,Negative
2,6,2170,Negative
2,10,844,Negative
2,14,1330,Negative
2,18,1369,Negative
2,22,909,Negative
2,26,1130,Negative
3,3,1479,Negative
3,7,54,Negative
3,11,628,Negative
3,15,817,Negative
3,19,1130,Negative
3,23,640,Negative
3,27,823,Negative
4,4,1289,Negative
4,8,1278,Negative
4,12,2105,Negative
4,16,569,Negative
4,20,1292,Negative
4,24,1140,Negative
4,28,3283,Negative
5,1,754,Negative
5,5,1244,Negative
5,9,1193,Negative
5,13,942,Negative
5,17,1644,Negative
5,21,1134,Negative
5,25,1513,Negative
6,2,2281,Negative
6,6,1865,Negative
6,10,1943,Negative
6,14,2528,Negative
6,18,1372,Negative
6,22,1549,Negative
6,26,2131,Negative
7,3,1492,Negative
7,7,379,Negative
7,11,1598,Negative
7,15,2179,Negative
7,19,3157,Negative
7,23,983,Negative
7,27,879,Negative
8,4,627,Negative
8,8,832,Negative
8,12,967,Negative
8,16,826,Negative
8,20,866,Negative
8,24,1291,Negative
8,28,657,Negative
9,1,520,Negative
9,5,2774,Negative
9,9,621,Negative
9,13,1254,Negative
9,17,514,Negative
9,21,1028,Negative
9,25,1403,Negative
10,2,1287,Negative
10,6,1161,Negative
10,10,1435,Negative
10,14,1342,Negative
10,18,737,Negative
10,22,1078,Negative
10,26,1937,Negative
11,3,2290,Negative
11,7,534,Negative
11,11,2002,Negative
11,15,1901,Negative
11,19,1953,Negative
11,23,1161,Negative
11,27,816,Negative
12,4,874,Negative
12,8,589,Negative
12,12,1661,Negative
12,16,620,Negative
12,20,723,Negative
12,24,758,Negative
12,28,847,Negative
13,1,1205,Negative
13,5,1119,Negative
13,9,888,Negative
13,13,1204,Negative
13,17,569,Negative
13,21,1857,Negative
13,25,1423,Negative
14,2,1473,Negative
14,6,646,Negative
14,10,313,Negative
14,14,1138,Negative
14,18,1787,Negative
14,22,836,Negative
14,26,905,Negative
15,3,928,Negative
15,7,661,Negative
15,11,1080,Negative
15,15,1136,Negative
15,19,2364,Negative
15,23,1728,Negative
15,27,1604,Negative
16,4,970,Negative
16,8,805,Negative
16,12,1503,Negative
16,16,1046,Negative
16,20,1084,Negative
16,24,1474,Negative
16,28,1185,Negative
17,1,1141,Negative
17,5,1255,Negative
17,9,1070,Negative
17,13,2369,Negative
17,17,2190,Negative
17,21,1844,Negative
17,25,1195,Negative
18,2,2535,Negative
18,6,1812,Negative
18,10,504,Negative
18,14,682,Negative
18,18,418,Negative
18,22,498,Negative
18,26,771,Negative
19,3,2971,Negative
19,7,1897,Negative
19,11,1608,Negative
19,15,2649,Negative
19,19,2733,Negative
19,23,1771,Negative
19,27,966,Negative
20,4,649,Negative
20,8,905,Negative
20,12,948,Negative
20,16,925,Negative
20,20,961,Negative
20,24,845,Negative
20,28,574,Negative
21,1,1210,Negative
21,5,2268,Negative
21,9,905,Negative
21,13,1326,Negative
21,17,1610,Negative
21,21,1513,Negative
21,25,1524,Negative
22,2,1207,Negative
22,6,1290,Negative
22,10,909,Negative
22,14,1518,Negative
22,18,1199,Negative
22,22,833,Negative
22,26,1013,Negative
23,3,772,Negative
23,7,745,Negative
23,11,1499,Negative
23,15,1569,Negative
23,19,2162,Negative
23,23,1085,Negative
23,27,935,Negative
24,4,3070,Negative
24,8,1876,Negative
24,12,2324,Negative
24,16,1044,Negative
24,20,1357,Negative
24,24,2028,Negative
24,28,2293,Negative
25,1,1476,Negative
25,5,1803,Negative
25,9,1486,Negative
25,13,1539,Negative
25,17,998,Negative
25,21,1421,Negative
25,25,1612,Negative
26,2,2875,Negative
26,6,2228,Negative
26,10,718,Negative
26,14,2375,Negative
26,18,1064,Negative
26,22,791,Negative
26,26,1390,Negative
27,3,2803,Negative
27,7,1280,Negative
27,11,1128,Negative
27,15,2224,Negative
27,19,2797,Negative
27,23,536,Negative
27,27,1553,Negative
28,4,703,Negative
28,8,839,Negative
28,12,1004,Negative
28,16,1096,Negative
28,20,1063,Negative
28,24,1072,Negative
28,28,838,Negative
29,1,930,Negative
29,5,1591,Negative
29,9,682,Negative
29,13,840,Negative
29,17,712,Negative
29,21,811,Negative
29,25,1372,Negative
30,2,1993,Negative
30,6,4173,Negative
30,10,825,Negative
30,14,4033,Negative
30,18,986,Negative
30,22,1531,Negative
30,26,3665,Negative
31,3,2521,Negative
31,7,681,Negative
31,11,1452,Negative
31,15,2042,Negative
31,19,1831,Negative
31,23,1204,Negative
31,27,998,Negative
32,4,2723,Negative
32,8,1125,Negative
32,12,1310,Negative
32,16,977,Negative
32,20,1314,Negative
32,24,1579,Negative
32,28,1229,Negative
33,2,2144,Negative
33,6,2893,Negative
33,10,2340,Negative
33,14,1436,Negative
33,18,825,Negative
33,22,854,Negative
33,26,1609,Negative
34,1,1697,Negative
34,5,2433,Negative
34,9,1307,Negative
34,13,1498,Negative
34,17,698,Negative
34,21,1225,Negative
34,25,2121,Negative
35,3,1303,Negative
35,7,1041,Negative
35,11,1617,Negative
35,15,1585,Negative
35,19,1702,Negative
35,23,1423,Negative
35,27,1000,Negative
36,4,1870,Negative
36,8,1192,Negative
36,12,1623,Negative
36,16,1741,Negative
36,20,1371,Negative
36,24,1990,Negative
36,28,2833,Negative
37,1,971,Negative
37,5,2134,Negative
37,9,1066,Negative
37,13,1103,Negative
37,17,725,Negative
37,21,1484,Negative
37,25,1582,Negative
38,2,1125,Negative
38,6,1577,Negative
38,10,1090,Negative
38,14,1825,Negative
38,18,1001,Negative
38,22,726,Negative
38,26,1197,Negative
39,3,1432,Negative
39,7,580,Negative
39,11,1314,Negative
39,15,1590,Negative
39,19,1679,Negative
39,23,1142,Negative
39,27,980,Negative
40,4,1314,Negative
40,8,835,Negative
40,12,1502,Negative
40,16,1347,Negative
40,20,1807,Negative
40,24,1877,Negative
40,28,1260,Negative
41,1,1744,Negative
41,5,1454,Negative
41,9,819,Negative
41,13,349,Negative
41,17,810,Negative
41,21,856,Negative
41,25,1459,Negative
42,2,2049,Negative
42,6,1698,Negative
42,10,891,Negative
42,14,1792,Negative
42,18,1082,Negative
42,22,1103,Negative
42,26,1574,Negative
43,3,994,Negative
43,7,1410,Negative
43,11,1059,Negative
43,15,1637,Negative
43,19,1404,Negative
43,23,556,Negative
43,27,987,Negative
44,4,624,Negative
44,8,819,Negative
44,12,622,Negative
44,16,1033,Negative
44,20,732,Negative
44,24,743,Negative
44,28,545,Negative
45,1,1207,Negative
45,5,3435,Negative
45,9,698,Negative
45,13,661,Negative
45,17,666,Negative
45,21,930,Negative
45,25,1299,Negative
46,2,1580,Negative
46,6,2806,Negative
46,10,1001,Negative
46,14,1807,Negative
46,18,1090,Negative
46,22,1116,Negative
46,26,2374,Negative
47,3,959,Negative
47,7,301,Negative
47,11,1338,Negative
47,15,1076,Negative
47,19,1294,Negative
47,23,765,Negative
47,27,741,Negative
48,4,2595,Negative
48,8,1808,Negative
48,12,1162,Negative
48,16,1673,Negative
48,20,1868,Negative
48,24,2068,Negative
48,28,1172,Negative
49,1,917,Negative
49,5,2084,Negative
49,9,594,Negative
49,13,969,Negative
49,17,676,Negative
49,21,1177,Negative
49,25,2152,Negative
50,2,2626,Negative
50,6,1363,Negative
50,10,1250,Negative
50,14,3491,Negative
50,18,1300,Negative
50,22,703,Negative
50,26,2312,Negative
1,2,1377,Positive
1,6,1004,Positive
1,10,807,Positive
1,14,1498,Positive
1,18,1800,Positive
1,22,1402,Positive
1,26,1702,Positive
2,3,1130,Positive
2,7,977,Positive
2,11,1791,Positive
2,15,1706,Positive
2,19,2312,Positive
2,23,1013,Positive
2,27,1208,Positive
3,4,714,Positive
3,8,,Positive
3,12,1190,Positive
3,16,1152,Positive
3,20,830,Positive
3,24,1587,Positive
3,28,773,Positive
4,1,1516,Positive
4,5,3781,Positive
4,9,1229,Positive
4,13,1767,Positive
4,17,953,Positive
4,21,3845,Positive
4,25,5020,Positive
5,2,2605,Positive
5,6,1371,Positive
5,10,1046,Positive
5,14,1198,Positive
5,18,856,Positive
5,22,1095,Positive
5,26,1382,Positive
6,3,3108,Positive
6,7,1211,Positive
6,11,3011,Positive
6,15,2276,Positive
6,19,3295,Positive
6,23,1997,Positive
6,27,3895,Positive
7,4,2513,Positive
7,8,,Positive
7,12,1644,Positive
7,16,1045,Positive
7,20,4976,Positive
7,24,1420,Positive
7,28,1410,Positive
8,1,1318,Positive
8,5,1308,Positive
8,9,1169,Positive
8,13,1680,Positive
8,17,627,Positive
8,21,1967,Positive
8,25,1407,Positive
9,2,4046,Positive
9,6,2273,Positive
9,10,980,Positive
9,14,1494,Positive
9,18,2121,Positive
9,22,1171,Positive
9,26,1865,Positive
10,3,3107,Positive
10,7,769,Positive
10,11,1768,Positive
10,15,1333,Positive
10,19,2437,Positive
10,23,1529,Positive
10,27,710,Positive
11,4,622,Positive
11,8,,Positive
11,12,1287,Positive
11,16,1315,Positive
11,20,1323,Positive
11,24,1298,Positive
11,28,968,Positive
12,1,3662,Positive
12,5,3399,Positive
12,9,752,Positive
12,13,1375,Positive
12,17,1073,Positive
12,21,885,Positive
12,25,1689,Positive
13,2,1961,Positive
13,6,3079,Positive
13,10,1039,Positive
13,14,2789,Positive
13,18,1576,Positive
13,22,1264,Positive
13,26,1894,Positive
14,3,2005,Positive
14,7,2005,Positive
14,11,1651,Positive
14,15,2417,Positive
14,19,3557,Positive
14,23,1081,Positive
14,27,967,Positive
15,4,1698,Positive
15,8,,Positive
15,12,1543,Positive
15,16,1307,Positive
15,20,1035,Positive
15,24,1279,Positive
15,28,1142,Positive
16,1,1120,Positive
16,5,1239,Positive
16,9,947,Positive
16,13,997,Positive
16,17,850,Positive
16,21,1839,Positive
16,25,1624,Positive
17,2,2411,Positive
17,6,1960,Positive
17,10,,Positive
17,14,2909,Positive
17,18,2175,Positive
17,22,2152,Positive
17,26,1665,Positive
18,3,1324,Positive
18,7,424,Positive
18,11,770,Positive
18,15,1086,Positive
18,19,1184,Positive
18,23,705,Positive
18,27,1805,Positive
19,4,3478,Positive
19,8,,Positive
19,12,2516,Positive
19,16,2984,Positive
19,20,1354,Positive
19,24,1267,Positive
19,28,1273,Positive
20,1,1060,Positive
20,5,1955,Positive
20,9,1037,Positive
20,13,724,Positive
20,17,1162,Positive
20,21,1038,Positive
20,25,1825,Positive
21,2,1743,Positive
21,6,1419,Positive
21,10,720,Positive
21,14,2198,Positive
21,18,1177,Positive
21,22,1223,Positive
21,26,1300,Positive
22,3,1509,Positive
22,7,464,Positive
22,11,1377,Positive
22,15,949,Positive
22,19,1750,Positive
22,23,1569,Positive
22,27,742,Positive
23,4,895,Positive
23,8,,Positive
23,12,737,Positive
23,16,1365,Positive
23,20,926,Positive
23,24,874,Positive
23,28,1021,Positive
24,1,1684,Positive
24,5,4126,Positive
24,9,1261,Positive
24,13,2133,Positive
24,17,1085,Positive
24,21,2251,Positive
24,25,1704,Positive
25,2,2252,Positive
25,6,1616,Positive
25,10,1609,Positive
25,14,1674,Positive
25,18,1567,Positive
25,22,1353,Positive
25,26,2106,Positive
26,3,1676,Positive
26,7,595,Positive
26,11,970,Positive
26,15,1264,Positive
26,19,4867,Positive
26,23,767,Positive
26,27,1145,Positive
27,4,1514,Positive
27,8,,Positive
27,12,1385,Positive
27,16,1216,Positive
27,20,1049,Positive
27,24,1708,Positive
27,28,833,Positive
28,1,928,Positive
28,5,1379,Positive
28,9,673,Positive
28,13,1224,Positive
28,17,874,Positive
28,21,966,Positive
28,25,1418,Positive
29,2,2063,Positive
29,6,1002,Positive
29,10,691,Positive
29,14,1006,Positive
29,18,617,Positive
29,22,948,Positive
29,26,1196,Positive
30,3,1717,Positive
30,7,770,Positive
30,11,1932,Positive
30,15,1263,Positive
30,19,2356,Positive
30,23,2978,Positive
30,27,1230,Positive
31,4,1063,Positive
31,8,,Positive
31,12,749,Positive
31,16,783,Positive
31,20,1294,Positive
31,24,1211,Positive
31,28,1625,Positive
32,1,1363,Positive
32,5,4527,Positive
32,9,626,Positive
32,13,992,Positive
32,17,1159,Positive
32,21,1486,Positive
32,25,2118,Positive
33,3,2324,Positive
33,7,2936,Positive
33,11,1895,Positive
33,15,5346,Positive
33,19,2164,Positive
33,23,1318,Positive
33,27,1317,Positive
34,2,2695,Positive
34,6,1575,Positive
34,10,1867,Positive
34,14,1841,Positive
34,18,1323,Positive
34,22,1836,Positive
34,26,1470,Positive
35,4,1364,Positive
35,8,,Positive
35,12,1069,Positive
35,16,1562,Positive
35,20,1084,Positive
35,24,1412,Positive
35,28,833,Positive
36,1,1982,Positive
36,5,1599,Positive
36,9,1180,Positive
36,13,1520,Positive
36,17,2274,Positive
36,21,1870,Positive
36,25,2494,Positive
37,2,2052,Positive
37,6,1405,Positive
37,10,985,Positive
37,14,2321,Positive
37,18,1249,Positive
37,22,1194,Positive
37,26,1406,Positive
38,3,1477,Positive
38,7,581,Positive
38,11,2056,Positive
38,15,1178,Positive
38,19,1471,Positive
38,23,568,Positive
38,27,674,Positive
39,4,1316,Positive
39,8,,Positive
39,12,1380,Positive
39,16,1320,Positive
39,20,780,Positive
39,24,1424,Positive
39,28,1222,Positive
40,1,1992,Positive
40,5,2568,Positive
40,9,991,Positive
40,13,1407,Positive
40,17,1017,Positive
40,21,2041,Positive
40,25,1918,Positive
41,2,3205,Positive
41,6,1245,Positive
41,10,1037,Positive
41,14,1662,Positive
41,18,841,Positive
41,22,1536,Positive
41,26,4201,Positive
42,3,1665,Positive
42,7,958,Positive
42,11,1731,Positive
42,15,2365,Positive
42,19,1988,Positive
42,23,1347,Positive
42,27,926,Positive
43,4,907,Positive
43,8,2073,Positive
43,12,1740,Positive
43,16,1226,Positive
43,20,2000,Positive
43,24,826,Positive
43,28,1586,Positive
44,1,862,Positive
44,5,1636,Positive
44,9,575,Positive
44,13,655,Positive
44,17,977,Positive
44,21,734,Positive
44,25,941,Positive
45,2,2831,Positive
45,6,1227,Positive
45,10,705,Positive
45,14,931,Positive
45,18,1150,Positive
45,22,699,Positive
45,26,1100,Positive
46,3,1631,Positive
46,7,734,Positive
46,11,1588,Positive
46,15,1622,Positive
46,19,6223,Positive
46,23,1975,Positive
46,27,3279,Positive
47,4,959,Positive
47,8,2091,Positive
47,12,1047,Positive
47,16,530,Positive
47,20,915,Positive
47,24,876,Positive
47,28,692,Positive
48,1,1465,Positive
48,5,2769,Positive
48,9,1588,Positive
48,13,2089,Positive
48,17,1287,Positive
48,21,2461,Positive
48,25,1814,Positive
49,2,2404,Positive
49,6,2272,Positive
49,10,1480,Positive
49,14,1555,Positive
49,18,325,Positive
49,22,721,Positive
49,26,1080,Positive
50,3,1285,Positive
50,7,658,Positive
50,11,2325,Positive
50,15,1609,Positive
50,19,2162,Positive
50,23,2548,Positive
50,27,1102,Positive
