Subject,Item,RT,Condition
31,13,1810,Rare
31,17,1203,Rare
31,21,1128,Rare
31,25,2192,Rare
32,2,1648,Rare
32,6,1789,Rare
32,10,1591,Rare
32,14,2222,Rare
32,18,4598,Rare
32,22,1096,Rare
32,26,2075,Rare
33,4,1121,Rare
33,8,810,Rare
33,12,998,Rare
33,16,826,Rare
33,20,1193,Rare
33,24,830,Rare
33,28,737,Rare
34,3,1700,Rare
34,7,949,Rare
34,11,1580,Rare
34,15,1006,Rare
34,19,2495,Rare
34,23,1787,Rare
34,27,809,Rare
35,1,762,Rare
35,5,2478,Rare
35,9,1510,Rare
35,13,1678,Rare
35,17,2646,Rare
35,21,1001,Rare
35,25,2765,Rare
36,2,3495,Rare
36,6,1158,Rare
36,10,3242,Rare
36,14,2548,Rare
36,18,1657,Rare
36,22,1449,Rare
36,26,2774,Rare
37,3,1306,Rare
37,7,897,Rare
37,11,1989,Rare
37,15,1973,Rare
37,19,2188,Rare
37,23,2662,Rare
37,27,1159,Rare
38,4,1338,Rare
38,8,793,Rare
38,12,802,Rare
38,16,655,Rare
38,20,2383,Rare
38,24,1258,Rare
38,28,655,Rare
39,1,1105,Rare
39,5,1533,Rare
39,9,653,Rare
39,13,1641,Rare
39,17,1446,Rare
39,21,1212,Rare
39,25,1239,Rare
40,2,2233,Rare
40,6,1807,Rare
40,10,2080,Rare
40,14,1383,Rare
40,18,2559,Rare
40,22,800,Rare
40,26,2368,Rare
41,3,1434,Rare
41,7,2967,Rare
41,11,921,Rare
41,15,805,Rare
41,19,1156,Rare
41,23,1494,Rare
41,27,956,Rare
42,4,1611,Rare
42,8,1123,Rare
42,12,1186,Rare
42,16,1012,Rare
42,20,1233,Rare
42,24,861,Rare
42,28,958,Rare
43,1,2511,Rare
43,5,914,Rare
43,9,2103,Rare
43,13,451,Rare
43,17,1574,Rare
43,21,504,Rare
43,25,1521,Rare
44,2,1987,Rare
44,6,2004,Rare
44,10,1370,Rare
44,14,1200,Rare
44,18,1105,Rare
44,22,550,Rare
44,26,1146,Rare
45,3,887,Rare
45,7,649,Rare
45,11,837,Rare
45,15,765,Rare
45,19,1164,Rare
45,23,1896,Rare
45,27,918,Rare
46,4,2409,Rare
46,8,565,Rare
46,12,1792,Rare
46,16,728,Rare
46,20,2259,Rare
46,24,893,Rare
46,28,723,Rare
47,1,1407,Rare
47,5,1214,Rare
47,9,791,Rare
47,13,1571,Rare
47,17,1674,Rare
47,21,859,Rare
47,25,2508,Rare
48,2,2159,Rare
48,6,1975,Rare
48,10,2100,Rare
48,14,3018,Rare
48,18,1297,Rare
48,22,1812,Rare
48,26,2219,Rare
49,3,1122,Rare
49,7,811,Rare
49,11,1045,Rare
49,15,538,Rare
49,19,1463,Rare
49,23,3047,Rare
49,27,1953,Rare
50,4,2914,Rare
50,8,776,Rare
50,12,1085,Rare
50,16,1128,Rare
50,20,1468,Rare
50,24,1550,Rare
50,28,1112,Rare
1,1,1249,Common
1,5,1182,Common
1,9,1036,Common
1,13,914,Common
1,17,829,Common
1,21,980,Common
1,25,1589,Common
2,2,2658,Common
2,6,2170,Common
2,10,844,Common
2,14,1330,Common
2,18,1369,Common
2,22,909,Common
2,26,1130,Common
3,3,1479,Common
3,7,54,Common
3,11,628,Common
3,15,817,Common
3,19,1130,Common
3,23,640,Common
3,27,823,Common
4,4,1289,Common
4,8,1278,Common
4,12,2105,Common
4,16,569,Common
4,20,1292,Common
4,24,1140,Common
4,28,3283,Common
5,1,754,Common
5,5,1244,Common
5,9,1193,Common
5,13,942,Common
5,17,1644,Common
5,21,1134,Common
5,25,1513,Common
6,2,2281,Common
6,6,1865,Common
6,10,1943,Common
6,14,2528,Common
6,18,1372,Common
6,22,1549,Common
6,26,2131,Common
7,3,1492,Common
7,7,379,Common
7,11,1598,Common
7,15,2179,Common
7,19,3157,Common
7,23,983,Common
7,27,879,Common
8,4,627,Common
8,8,832,Common
8,12,967,Common
8,16,826,Common
8,20,866,Common
8,24,1291,Common
8,28,657,Common
9,1,520,Common
9,5,2774,Common
9,9,621,Common
9,13,1254,Common
9,17,514,Common
9,21,1028,Common
9,25,1403,Common
10,2,1287,Common
10,6,1161,Common
10,10,1435,Common
10,14,1342,Common
10,18,737,Common
10,22,1078,Common
10,26,1937,Common
11,3,2290,Common
11,7,534,Common
11,11,2002,Common
11,15,1901,Common
11,19,1953,Common
11,23,1161,Common
11,27,816,Common
12,4,874,Common
12,8,589,Common
12,12,1661,Common
12,16,620,Common
12,20,723,Common
12,24,758,Common
12,28,847,Common
13,1,1205,Common
13,5,1119,Common
13,9,888,Common
13,13,1204,Common
13,17,569,Common
13,21,1857,Common
13,25,1423,Common
14,2,1473,Common
14,6,646,Common
14,10,313,Common
14,14,1138,Common
14,18,1787,Common
14,22,836,Common
14,26,905,Common
15,3,928,Common
15,7,661,Common
15,11,1080,Common
15,15,1136,Common
15,19,2364,Common
15,23,1728,Common
15,27,1604,Common
16,4,970,Common
16,8,805,Common
16,12,1503,Common
16,16,1046,Common
16,20,1084,Common
16,24,1474,Common
16,28,1185,Common
17,1,1141,Common
17,5,1255,Common
17,9,1070,Common
17,13,2369,Common
17,17,2190,Common
17,21,1844,Common
17,25,1195,Common
18,2,2535,Common
18,6,1812,Common
18,10,504,Common
18,14,682,Common
18,18,418,Common
18,22,498,Common
18,26,771,Common
19,3,2971,Common
19,7,1897,Common
19,11,1608,Common
19,15,2649,Common
19,19,2733,Common
19,23,1771,Common
19,27,966,Common
20,4,649,Common
20,8,905,Common
20,12,948,Common
20,16,925,Common
20,20,961,Common
20,24,845,Common
20,28,574,Common
21,1,1210,Common
21,5,2268,Common
21,9,905,Common
21,13,1326,Common
21,17,1610,Common
21,21,1513,Common
21,25,1524,Common
22,2,1207,Common
22,6,1290,Common
22,10,909,Common
22,14,1518,Common
22,18,1199,Common
22,22,833,Common
22,26,1013,Common
23,3,772,Common
23,7,745,Common
23,11,1499,Common
23,15,1569,Common
23,19,2162,Common
23,23,1085,Common
23,27,935,Common
24,4,3070,Common
24,8,1876,Common
24,12,2324,Common
24,16,1044,Common
24,20,1357,Common
24,24,2028,Common
24,28,2293,Common
25,1,1476,Common
25,5,1803,Common
25,9,1486,Common
25,13,1539,Common
25,17,998,Common
25,21,1421,Common
25,25,1612,Common
26,2,2875,Common
26,6,2228,Common
26,10,718,Common
26,14,2375,Common
26,18,1064,Common
26,22,791,Common
26,26,1390,Common
27,3,2803,Common
27,7,1280,Common
27,11,1128,Common
27,15,2224,Common
27,19,2797,Common
27,23,536,Common
27,27,1553,Common
28,4,703,Common
28,8,839,Common
28,12,1004,Common
28,16,1096,Common
28,20,1063,Common
28,24,1072,Common
28,28,838,Common
29,1,930,Common
29,5,1591,Common
29,9,682,Common
29,13,840,Common
29,17,712,Common
29,21,811,Common
29,25,1372,Common
30,2,1993,Common
30,6,4173,Common
30,10,825,Common
30,14,4033,Common
30,18,986,Common
30,22,1531,Common
30,26,3665,Common
31,3,2521,Common
31,7,681,Common
31,11,1452,Common
31,15,2042,Common
31,19,1831,Common
31,23,1204,Common
31,27,998,Common
32,4,2723,Common
32,8,1125,Common
32,12,1310,Common
32,16,977,Common
32,20,1314,Common
32,24,1579,Common
32,28,1229,Common
33,2,2144,Common
33,6,2893,Common
33,10,2340,Common
33,14,1436,Common
33,18,825,Common
33,22,854,Common
33,26,1609,Common
34,1,1697,Common
34,5,2433,Common
34,9,1307,Common
34,13,1498,Common
34,17,698,Common
34,21,1225,Common
34,25,2121,Common
35,3,1303,Common
35,7,1041,Common
35,11,1617,Common
35,15,1585,Common
35,19,1702,Common
35,23,1423,Common
35,27,1000,Common
36,4,1870,Common
36,8,1192,Common
36,12,1623,Common
36,16,1741,Common
36,20,1371,Common
36,24,1990,Common
36,28,2833,Common
37,1,971,Common
37,5,2134,Common
37,9,1066,Common
37,13,1103,Common
37,17,725,Common
37,21,1484,Common
37,25,1582,Common
38,2,1125,Common
38,6,1577,Common
38,10,1090,Common
38,14,1825,Common
38,18,1001,Common
38,22,726,Common
38,26,1197,Common
39,3,1432,Common
39,7,580,Common
39,11,1314,Common
39,15,1590,Common
39,19,1679,Common
39,23,1142,Common
39,27,980,Common
40,4,1314,Common
40,8,835,Common
40,12,1502,Common
40,16,1347,Common
40,20,1807,Common
40,24,1877,Common
40,28,1260,Common
41,1,1744,Common
41,5,1454,Common
41,9,819,Common
41,13,349,Common
41,17,810,Common
41,21,856,Common
41,25,1459,Common
42,2,2049,Common
42,6,1698,Common
42,10,891,Common
42,14,1792,Common
42,18,1082,Common
42,22,1103,Common
42,26,1574,Common
43,3,994,Common
43,7,1410,Common
43,11,1059,Common
43,15,1637,Common
43,19,1404,Common
43,23,556,Common
43,27,987,Common
44,4,624,Common
44,8,819,Common
44,12,622,Common
44,16,1033,Common
44,20,732,Common
44,24,743,Common
44,28,545,Common
45,1,1207,Common
45,5,3435,Common
45,9,698,Common
45,13,661,Common
45,17,666,Common
45,21,930,Common
45,25,1299,Common
46,2,1580,Common
46,6,2806,Common
46,10,1001,Common
46,14,1807,Common
46,18,1090,Common
46,22,1116,Common
46,26,2374,Common
47,3,959,Common
47,7,301,Common
47,11,1338,Common
47,15,1076,Common
47,19,1294,Common
47,23,765,Common
47,27,741,Common
48,4,2595,Common
48,8,1808,Common
48,12,1162,Common
48,16,1673,Common
48,20,1868,Common
48,24,2068,Common
48,28,1172,Common
49,1,917,Common
49,5,2084,Common
49,9,594,Common
49,13,969,Common
49,17,676,Common
49,21,1177,Common
49,25,2152,Common
50,2,2626,Common
50,6,1363,Common
50,10,1250,Common
50,14,3491,Common
50,18,1300,Common
50,22,703,Common
50,26,2312,Common
