id,wm,iq,comp
462,45,106,18
463,51,108,20
464,53,118,13
465,43,122,18
466,44,84,20
467,40,96,19
468,43,109,21
469,45,93,22
470,48,120,21
471,57,99,19
472,54,82,22
473,51,129,18
474,47,92,18
475,49,121,20
476,52,121,17
477,47,128,22
478,55,106,23
479,55,102,18
480,44,106,16
481,46,90,22
482,56,121,21
483,41,130,23
484,52,108,19
485,51,107,21
486,65,126,20
487,36,99,19
488,45,98,17
489,53,95,19
490,58,59,17
491,54,88,24
492,42,89,19
493,61,74,21
494,41,94,20
495,44,90,23
496,49,117,21
497,61,103,20
498,52,107,19
499,53,79,20
500,58,98,18
501,54,100,18
502,43,99,24
503,53,96,15
504,49,84,18
505,58,105,19
506,48,112,20
507,42,88,21
508,52,122,19
509,51,103,20
510,49,113,19
511,44,99,20
512,45,93,22
513,49,103,18
514,55,116,18
515,48,126,17
516,45,108,23
517,36,116,18
518,52,105,19
519,52,103,20
520,56,113,16
521,57,85,21
522,49,97,21
523,56,112,20
524,50,86,15
525,46,127,20
526,45,99,18
527,48,119,22
528,51,106,20
529,49,109,23
530,51,85,16
531,50,112,20
532,53,83,20
533,48,89,16
534,58,101,20
535,52,98,17
536,44,75,21
537,48,104,19
538,52,92,20
539,47,78,23
540,51,98,18
541,52,98,22
542,56,85,21
543,46,104,20
544,49,115,20
545,47,119,20
546,44,114,22
547,40,107,18
548,50,90,16
549,53,100,22
550,53,97,23
551,43,92,17
552,44,107,20
553,44,97,17
554,46,63,21
555,50,119,17
556,52,120,19
557,45,96,18
558,35,104,20
559,54,109,22
560,53,109,20
561,46,107,17
562,44,132,20
563,48,98,20
564,50,101,24
565,53,90,21
566,56,103,23
567,45,108,17
568,51,101,17
569,56,87,21
570,45,114,17
571,48,118,18
572,41,74,24
573,51,88,23
574,46,101,21
575,45,91,21
576,46,101,20
577,52,76,18
578,39,94,20
579,47,87,20
580,44,121,23
581,45,91,17
582,52,121,17
583,51,96,17
584,49,89,21
585,52,120,20
586,46,106,18
587,39,125,22
588,55,100,21
589,48,88,17
590,48,83,22
591,50,120,15
592,53,87,20
593,52,101,20
594,54,110,19
595,50,82,20
596,47,122,21
597,48,109,19
598,54,58,21
599,45,68,23
600,45,82,18
601,51,105,21
602,53,107,20
603,41,92,22
604,53,83,19
605,50,109,22
606,49,112,19
607,55,94,22
608,57,87,19
609,44,94,19
610,55,130,19
611,46,100,20
612,50,88,19
613,52,90,18
614,50,98,18
615,42,117,21
616,47,101,20
617,57,103,19
618,50,110,17
619,45,74,18
620,46,109,18
621,55,109,19
622,51,127,18
623,45,84,18
624,50,104,21
625,52,97,18
626,58,82,16
627,45,94,17
628,48,101,19
629,54,84,17
630,47,82,17
631,57,87,21
632,55,72,20
633,41,131,19
634,52,115,17
635,42,99,19
636,42,125,18
637,50,125,21
638,50,103,19
639,49,89,24
640,56,79,22
641,51,110,22
642,46,118,17
643,50,108,19
644,47,123,13
645,49,108,18
646,44,97,16
647,49,117,20
648,50,102,22
649,46,97,20
650,50,105,21
651,46,91,22
652,46,122,22
653,48,90,20
654,52,124,17
655,48,69,22
656,50,118,21
657,54,100,20
658,48,97,18
659,49,81,17
660,52,100,21
661,43,86,20
662,52,107,18
663,47,86,16
664,44,119,17
665,41,85,21
666,46,90,18
667,44,113,19
668,44,119,23
669,58,88,22
670,43,66,23
671,54,77,20
672,52,100,18
673,45,143,17
674,46,77,22
675,47,86,18
676,50,90,17
677,48,102,21
678,54,88,21
679,48,122,21
680,39,76,16
681,49,97,17
682,40,86,21
683,54,118,20
684,46,97,18
685,44,104,19
686,47,108,20
687,52,115,18
688,40,98,17
689,51,127,19
690,45,76,19
691,49,112,20
692,53,104,22
693,52,99,20
694,57,95,19
695,50,125,18
696,46,97,21
697,60,105,20
698,48,109,19
699,54,101,17
700,54,121,21
701,52,123,19
702,57,105,21
703,48,116,22
704,43,94,21
705,48,100,19
706,47,90,19
707,51,94,18
708,45,71,20
709,53,85,22
710,44,135,18
711,58,100,20
712,57,114,19
713,47,71,18
714,50,100,19
715,48,140,18
716,43,79,19
717,36,103,21
718,49,92,19
719,49,103,19
720,58,91,22
721,40,104,18
722,46,84,21
723,54,86,20
724,51,86,19
725,50,80,24
726,46,90,21
727,51,93,16
728,48,97,19
729,50,110,21
730,47,82,19
731,55,66,17
732,55,98,20
733,56,114,18
734,48,75,18
735,48,103,18
736,48,133,16
737,56,100,21
738,48,101,20
739,50,89,18
740,51,98,20
741,53,101,19
742,48,125,17
743,61,90,19
744,45,85,18
745,42,78,16
746,50,95,22
747,58,105,21
748,50,73,20
749,50,123,20
750,54,98,22
751,49,100,20
752,50,100,18
753,56,117,20
754,50,108,19
755,46,85,20
756,51,102,19
757,44,131,20
758,42,121,22
759,49,112,16
760,44,108,19
761,52,82,23
762,49,93,14
763,46,114,19
764,58,110,18
765,49,83,19
766,57,96,19
767,49,122,19
768,48,110,22
769,51,114,18
770,55,84,14
771,63,95,16
772,44,100,17
773,49,83,18
774,55,110,21
775,51,103,19
776,49,111,19
777,43,97,24
778,48,99,17
779,49,111,22
780,49,75,20
781,58,109,19
782,47,100,23
783,42,94,21
784,52,96,20
785,49,95,19
786,48,110,19
787,53,101,19
788,35,98,22
789,47,78,21
790,49,85,19
791,53,86,19
792,48,104,21
793,44,91,17
794,51,119,18
795,50,110,21
796,50,110,19
797,55,69,20
798,47,104,21
799,43,93,20
800,43,98,20
801,44,115,20
802,43,74,19
803,49,86,18
804,59,85,19
805,49,87,18
806,53,87,22
807,44,84,19
808,48,125,23
809,52,91,18
810,48,113,18
811,53,93,19
812,53,102,21
813,46,99,20
814,46,86,21
815,61,103,23
816,49,111,23
817,50,98,25
818,49,90,18
819,47,103,17
820,45,90,18
821,44,69,22
822,54,97,20
823,45,105,19
824,53,101,20
825,57,104,19
826,55,79,18
827,49,73,15
828,47,94,18
829,44,88,21
830,49,131,20
831,48,97,22
832,50,124,20
833,46,132,20
834,53,104,21
835,53,75,18
836,55,81,18
837,61,92,18
838,50,110,18
839,47,83,18
840,49,103,19
841,41,87,19
842,50,92,20
843,47,109,17
844,52,106,17
845,48,82,16
846,43,107,22
847,50,98,19
848,43,82,21
849,54,91,18
850,40,99,20
851,49,97,23
852,52,106,19
853,42,89,19
854,56,99,21
855,45,108,20
856,47,111,23
857,50,89,19
858,48,98,20
859,44,78,20
860,52,99,20
861,47,110,22
862,52,91,21
863,47,111,21
864,45,105,20
865,49,110,16
866,53,112,24
867,51,90,21
868,49,104,21
869,40,95,18
870,57,100,18
871,49,98,20
872,45,123,20
873,48,84,21
874,51,118,20
875,42,133,19
876,53,107,18
877,51,72,19
878,56,105,21
879,54,102,23
880,47,110,18
881,47,93,23
882,45,113,24
883,48,109,18
884,54,84,19
885,58,131,18
886,54,90,17
887,40,106,16
888,54,100,17
889,55,79,20
890,53,103,24
891,45,97,17
892,55,94,22
893,53,131,21
894,53,124,21
895,48,100,22
896,54,100,21
897,50,116,19
898,49,126,19
899,57,113,22
900,53,71,20
901,35,97,20
902,47,84,19
903,42,119,20
904,52,118,19
905,47,112,19
906,54,98,21
907,52,113,20
908,50,96,22
909,49,93,25
910,48,102,19
911,50,73,22
912,44,109,21
913,53,103,16
914,48,98,18
915,46,129,19
916,48,95,18
917,59,110,19
918,41,70,21
919,48,86,20
920,50,120,20
921,47,99,18
922,47,102,19
923,51,98,18
924,51,100,17
925,46,96,21
926,52,84,21
927,50,118,21
928,53,94,18
929,43,135,16
930,46,100,19
931,49,96,22
932,54,84,19
933,47,112,18
934,44,94,18
935,53,101,21
936,52,116,19
937,43,116,21
938,60,122,19
939,57,90,15
940,43,79,18
941,60,92,23
942,41,121,19
943,50,99,18
944,44,107,17
945,48,101,21
946,48,93,19
947,51,90,21
948,44,108,17
949,36,96,17
950,49,113,22
951,46,103,18
952,51,89,19
953,45,86,21
954,53,78,19
955,50,95,24
956,53,92,20
957,45,85,22
958,48,110,22
959,51,72,19
960,49,99,18
961,58,102,16
962,40,107,20
963,53,94,18
964,50,105,22
965,54,87,17
966,49,119,20
967,36,107,20
968,52,84,20
969,48,103,19
970,45,106,22
971,46,106,19
972,50,113,19
973,62,107,18
974,50,102,21
975,45,87,17
976,59,99,22
977,47,74,18
978,45,72,22
979,43,79,22
980,46,118,17
981,59,102,21
982,54,106,21
983,53,86,18
984,50,81,20
985,51,92,21
986,52,83,23
987,51,89,18
988,50,103,21
989,54,119,18
990,49,114,18
991,51,106,19
992,45,113,17
993,57,103,16
994,56,111,16
995,40,94,20
996,48,105,19
997,52,104,23
998,52,76,23
999,53,121,21
1000,47,70,19
1001,43,73,19
1002,51,126,21
1003,42,100,22
1004,53,85,21
1005,53,105,17
1006,40,69,24
1007,54,106,17
1008,48,107,20
1009,46,117,20
1010,52,93,19
1011,56,120,21
1012,57,77,18
1013,43,100,19
1014,47,99,18
1015,50,111,18
1016,50,107,20
1017,47,95,18
1018,38,110,21
1019,48,110,21
1020,44,100,20
1021,50,84,20
1022,45,94,20
1023,49,108,20
1024,46,107,19
1025,47,116,15
1026,48,106,20
1027,56,99,19
1028,53,97,20
1029,48,97,23
1030,43,96,20
1031,55,93,20
1032,42,85,24
1033,44,100,19
1034,46,104,17
1035,45,101,20
1036,45,107,23
1037,56,101,19
1038,49,104,19
1039,46,84,21
1040,53,135,18
1041,50,79,20
1042,43,105,22
1043,47,95,20
1044,52,66,18
1045,59,96,18
1046,57,88,18
1047,54,91,22
1048,49,105,23
1049,41,95,19
1050,46,104,21
1051,48,104,17
1052,52,87,19
1053,50,116,20
1054,50,71,21
1055,59,101,21
1056,51,105,19
1057,48,75,20
1058,47,95,19
1059,50,90,19
1060,45,119,15
1061,56,80,19
1062,48,111,21
1063,47,97,16
1064,45,120,20
1065,54,142,20
1066,43,91,17
1067,47,115,16
1068,51,103,23
1069,49,106,21
1070,51,112,18
1071,43,96,19
1072,47,81,19
1073,41,124,18
1074,45,83,20
1075,55,86,20
1076,51,114,20
1077,50,111,18
1078,45,85,19
1079,47,117,19
1080,44,124,21
1081,50,113,18
1082,53,103,19
1083,51,99,18
1084,46,116,21
1085,52,121,17
1086,51,87,20
1087,54,105,17
1088,47,102,19
1089,44,61,19
1090,49,110,21
1091,51,83,19
1092,57,109,19
1093,49,95,19
1094,52,86,17
1095,49,107,18
1096,60,94,21
1097,56,119,22
1098,48,103,17
1099,49,97,22
1100,49,101,20
1101,50,109,19
1102,47,119,19
1103,50,117,19
1104,46,108,20
1105,44,96,19
1106,54,90,19
1107,53,123,23
1108,47,123,20
1109,56,114,22
1110,49,94,20
1111,48,108,23
1112,45,75,22
1113,49,108,23
1114,49,78,18
1115,50,102,22
1116,52,118,19
1117,54,86,21
1118,51,115,21
1119,54,90,20
1120,55,96,19
1121,35,101,19
1122,48,94,21
1123,52,108,20
1124,44,115,21
1125,45,87,19
1126,51,98,21
1127,47,102,21
1128,41,87,21
1129,54,82,22
1130,45,98,24
1131,51,102,20
1132,52,93,20
1133,57,77,21
1134,50,83,18
1135,53,66,20
1136,55,98,21
1137,47,129,17
1138,41,77,18
1139,50,91,17
1140,56,78,18
1141,42,106,19
1142,55,90,17
1143,49,92,19
1144,50,100,19
1145,48,101,21
1146,55,81,20
1147,57,121,19
1148,57,113,19
1149,45,98,24
1150,53,123,22
1151,48,79,18
1152,45,95,21
1153,51,129,21
1154,49,72,21
1155,53,81,17
1156,58,95,18
1157,55,102,20
1158,46,82,23
1159,50,94,16
1160,57,77,18
1161,55,105,18
1162,42,114,20
1163,54,96,20
1164,48,118,21
1165,46,91,22
1166,44,103,21
1167,48,87,19
1168,53,98,22
1169,57,100,20
1170,50,82,20
1171,49,105,17
1172,48,115,22
1173,54,111,19
1174,44,117,19
1175,51,97,23
1176,55,96,17
1177,55,112,21
1178,52,88,21
1179,44,100,21
1180,45,93,18
1181,46,115,19
1182,42,88,15
1183,50,97,22
1184,56,87,20
1185,37,98,22
1186,53,117,19
1187,48,116,18
1188,46,91,23
1189,53,121,20
1190,53,108,22
1191,50,89,17
1192,45,114,20
1193,46,94,19
1194,41,114,19
1195,59,115,20
1196,49,93,19
1197,46,122,23
1198,39,108,21
1199,47,111,20
1200,47,94,19
1201,42,87,21
1202,61,97,19
1203,54,124,22
1204,42,87,17
1205,55,101,19
1206,55,113,22
1207,52,104,17
1208,51,112,19
1209,50,96,17
1210,53,84,20
1211,44,109,19
1212,46,97,20
1213,44,98,20
1214,49,112,17
1215,50,124,19
1216,53,89,16
1217,52,115,19
1218,57,136,19
1219,52,117,20
1220,56,103,22
1221,55,114,25
1222,47,90,21
1223,53,116,20
1224,52,106,21
1225,50,101,19
1226,45,93,21
1227,52,126,18
1228,50,101,16
1229,48,84,19
1230,54,87,17
1231,54,87,20
1232,54,94,22
1233,36,125,19
1234,45,118,23
1235,54,109,19
1236,46,92,20
1237,52,80,21
1238,50,127,18
1239,55,107,21
1240,46,108,22
1241,49,104,17
1242,51,121,22
1243,56,115,21
1244,49,95,23
1245,51,109,21
1246,43,96,20
1247,53,75,18
1248,51,108,20
1249,53,83,21
1250,47,110,21
1251,58,117,19
1252,49,104,18
1253,50,97,21
1254,49,79,19
1255,54,93,18
1256,46,82,19
1257,51,87,21
1258,52,75,22
1259,43,108,20
1260,51,124,21
1261,47,115,16
1262,57,113,23
1263,53,113,19
1264,41,71,22
1265,54,116,23
1266,51,136,22
1267,47,82,21
1268,48,113,18
1269,43,107,21
1270,51,98,19
1271,41,107,20
1272,49,92,20
1273,52,74,20
1274,50,102,18
1275,54,107,21
1276,50,107,19
1277,61,61,16
1278,45,118,18
1279,57,133,18
1280,41,109,21
1281,44,79,17
1282,45,117,22
1283,42,85,19
1284,57,104,18
1285,55,116,21
1286,56,113,25
1287,46,100,23
1288,50,97,20
1289,55,103,24
1290,55,111,19
1291,52,93,19
1292,50,113,15
1293,44,96,19
1294,51,105,18
1295,49,68,18
1296,46,109,19
1297,57,139,20
1298,46,103,19
1299,51,108,21
1300,52,109,20
1301,55,92,18
1302,51,136,19
1303,59,101,16
1304,52,99,18
1305,47,88,20
1306,50,93,20
1307,53,73,21
1308,39,100,16
1309,49,102,19
1310,50,86,17
1311,48,103,23
1312,50,85,15
1313,40,101,20
1314,51,112,19
1315,50,99,19
1316,47,87,20
1317,35,110,18
1318,47,107,21
1319,50,102,19
1320,49,150,20
1321,46,95,17
1322,51,127,19
1323,45,90,18
1324,53,87,21
1325,54,105,20
1326,54,80,19
1327,53,100,19
1328,48,84,19
1329,49,96,22
1330,56,117,20
1331,53,144,17
1332,51,96,21
1333,56,98,17
1334,46,70,19
1335,50,107,21
1336,56,96,19
1337,48,102,17
1338,50,82,21
1339,49,98,19
1340,56,113,23
1341,50,105,20
1342,50,71,17
1343,46,86,19
1344,47,119,19
1345,42,109,21
1346,52,93,21
1347,54,97,21
1348,43,78,17
1349,52,107,21
1350,51,91,21
1351,50,112,21
1352,50,113,22
1353,58,111,19
1354,51,100,21
1355,57,122,18
1356,52,95,22
1357,52,102,20
1358,47,117,20
1359,63,119,17
1360,49,103,20
1361,47,109,20
1362,51,115,21
1363,52,103,20
1364,53,107,18
1365,45,94,22
1366,49,109,17
1367,57,112,21
1368,47,105,26
1369,48,105,23
1370,53,92,17
1371,46,93,16
1372,55,74,19
1373,52,135,19
1374,50,94,20
1375,42,89,18
1376,48,90,21
1377,60,93,18
1378,48,117,19
1379,53,102,22
1380,45,91,23
1381,42,118,21
1382,53,96,20
1383,57,109,15
1384,42,114,20
1385,54,94,21
1386,51,95,21
1387,48,87,17
1388,58,121,19
1389,44,83,18
1390,49,109,20
1391,53,113,19
1392,44,100,15
1393,55,105,23
1394,49,95,18
1395,56,99,18
1396,49,107,20
1397,46,91,23
1398,43,94,20
1399,43,103,20
1400,49,95,21
1401,39,105,18
1402,42,74,20
1403,59,101,20
1404,49,107,19
1405,56,98,17
1406,58,74,20
1407,50,77,22
1408,50,103,21
1409,50,88,18
1410,53,92,21
1411,54,114,17
1412,39,104,21
1413,50,124,18
1414,53,110,21
1415,49,149,17
1416,51,89,21
1417,54,113,19
1418,49,104,21
1419,57,102,20
1420,52,106,21
1421,42,110,17
1422,49,89,17
1423,52,113,19
1424,50,91,19
1425,43,111,19
1426,40,105,18
1427,49,104,14
1428,53,87,18
1429,46,101,18
1430,51,88,21
1431,52,91,20
1432,54,113,17
1433,52,94,22
1434,51,88,21
1435,42,93,20
1436,47,90,17
1437,54,72,20
1438,52,111,25
1439,45,87,18
1440,51,90,18
1441,49,113,20
1442,56,116,22
1443,49,115,20
1444,48,112,25
1445,48,100,20
1446,45,100,17
1447,56,93,18
1448,50,76,23
1449,46,111,19
1450,51,81,23
1451,54,101,18
1452,47,84,20
1453,48,107,18
1454,49,103,21
1455,39,78,20
1456,50,121,23
1457,50,135,22
1458,48,97,20
1459,44,106,17
1460,55,123,19
1461,47,108,22
1462,50,81,21
1463,60,85,19
1464,47,53,19
1465,46,99,21
1466,50,122,19
1467,48,121,20
1468,47,96,19
1469,52,116,24
1470,51,87,19
1471,44,113,19
1472,43,92,19
1473,52,81,23
1474,45,97,20
1475,45,96,20
1476,56,102,15
1477,50,110,22
1478,47,92,22
1479,53,127,20
1480,56,84,21
1481,54,108,19
1482,44,95,21
1483,46,83,18
1484,51,102,19
1485,43,97,20
1486,48,68,17
1487,49,97,18
1488,49,100,20
1489,51,78,21
1490,50,101,20
1491,54,89,17
1492,49,114,16
1493,45,102,22
1494,49,57,18
1495,48,106,22
1496,50,102,21
1497,57,94,22
1498,52,77,20
1499,58,104,20
1500,55,82,21
1501,58,100,19
1502,43,110,17
1503,46,100,20
1504,47,98,19
1505,48,116,17
1506,48,96,20
1507,52,110,20
1508,43,119,21
1509,47,132,22
1510,47,80,18
1511,48,78,22
1512,46,111,20
1513,56,100,22
1514,53,107,20
1515,51,88,21
1516,42,102,17
1517,64,113,18
1518,54,104,20
1519,56,94,18
1520,40,111,19
1521,48,104,19
1522,53,69,19
1523,51,120,24
1524,53,92,19
1525,52,94,18
1526,47,112,18
1527,48,98,16
1528,45,122,19
1529,55,88,20
1530,40,106,21
1531,48,119,18
1532,54,117,21
1533,48,81,16
1534,57,92,18
1535,54,99,18
1536,45,96,20
1537,49,81,20
1538,50,137,18
1539,51,83,20
1540,47,108,22
1541,46,98,18
1542,48,101,17
1543,54,77,20
1544,55,100,20
1545,46,111,22
1546,50,75,23
1547,44,104,23
1548,46,96,20
1549,46,84,20
1550,43,111,20
1551,39,108,17
1552,53,94,22
1553,52,106,17
1554,45,120,19
1555,54,112,20
1556,59,100,20
1557,37,75,19
1558,55,124,20
1559,56,105,19
1560,50,69,18
1561,47,80,17
1562,44,88,20
1563,45,83,19
1564,46,107,18
1565,39,92,20
1566,46,98,16
1567,54,97,20
1568,46,101,24
1569,57,101,19
1570,49,94,20
1571,50,105,17
1572,52,112,17
1573,45,81,25
1574,46,114,14
1575,47,107,17
1576,58,105,18
1577,52,79,18
1578,49,101,19
1579,44,85,20
1580,49,83,19
1581,51,107,19
1582,48,69,17
1583,45,100,18
1584,45,87,20
1585,48,111,19
1586,51,97,17
1587,54,67,21
1588,43,79,23
1589,45,96,19
1590,39,94,18
1591,50,119,18
1592,53,119,18
1593,51,90,19
1594,56,113,19
1595,52,116,17
1596,47,112,21
1597,57,116,17
1598,52,104,17
1599,52,92,22
1600,45,81,19
1601,48,87,18
1602,43,103,21
1603,49,100,22
1604,56,83,16
1605,47,81,20
1606,50,117,20
1607,53,65,21
1608,42,93,20
1609,43,115,19
1610,45,103,19
1611,51,113,20
1612,50,120,19
1613,56,98,21
1614,43,96,19
1615,47,104,19
1616,39,112,18
1617,58,90,18
1618,55,139,16
1619,46,115,20
1620,48,119,21
1621,49,86,19
1622,58,120,19
1623,50,131,19
1624,52,106,21
1625,53,118,19
1626,53,93,21
1627,41,96,16
1628,53,96,18
1629,45,84,18
1630,49,94,21
1631,40,104,20
1632,51,93,18
1633,44,78,18
1634,39,119,20
1635,41,102,18
1636,42,120,19
1637,52,99,21
1638,51,109,19
1639,53,90,19
1640,47,81,20
1641,50,116,19
1642,52,122,21
1643,49,94,22
1644,44,110,19
1645,55,107,20
1646,58,83,19
1647,60,129,25
1648,54,93,22
1649,49,90,20
1650,49,113,21
1651,48,102,16
1652,48,95,21
1653,49,98,19
1654,40,61,19
1655,50,67,19
1656,51,104,19
1657,45,71,22
1658,41,73,18
1659,48,103,21
1660,34,106,18
1661,58,109,21
1662,53,108,17
1663,45,95,17
1664,50,108,21
